lemma,family_rank,family_freq,forms
charles,1618,12401,charles
uh,1619,12397,uh
eddie,1620,12397,eddie
supérieur,1621,12395,supérieur supérieure supérieurs supérieures
chris,1622,12393,chris
plaindre,1623,12388,plaindre plains plaint plaignent plaignait plaignez
célèbre,1624,12386,célèbre célèbres
artiste,1625,12382,artiste artistes
combattre,1626,12370,combattre combattu combattez combattons combattent combattrai
naturel,1627,12343,naturel naturelle naturelles naturels
éliminer,1628,12338,éliminer éliminé élimine éliminée éliminés éliminant
mêler,1629,12337,mêle mêler mêlé mêlez mêles mêlés
accorder,1630,12319,accorder accorde accordé accordée accordez accordent
fesse,1631,12317,fesses fesse
cache,1632,12316,cache
taper,1633,12298,taper tapé tapes tapez tapait tapent
paquet,1634,12289,paquet paquets
bal,1635,12288,bal bals
dimanche,1636,12288,dimanche dimanches
millier,1637,12277,milliers millier
journaliste,1638,12252,journaliste journalistes
agréable,1639,12240,agréable agréables
douche,1640,12210,douche douches
réunir,1641,12196,réunis réunir réuni réunit réunies réunissent
enchanté,1642,12191,enchanté
viande,1643,12189,viande viandes
révéler,1644,12186,révéler révélé révèle révélée révèlent révélés
aveugle,1645,12185,aveugle aveugles
site,1646,12177,site sites
souffler,1647,12176,souffle souffler soufflez souffles soufflait soufflent
immeuble,1648,12143,immeuble immeubles
vache,1649,12107,vache vaches
allemand,1650,12104,allemand allemands allemandes
naissance,1651,12087,naissance naissances
ouest,1652,12079,ouest
pourrir,1653,12078,pourri pourrie pourrir pourris pourries pourrit
va-t',1654,12060,va-t'
poids,1655,12057,poids
débrouiller,1656,12057,débrouiller débrouille débrouilles débrouillerai débrouillé débrouillera
examiner,1657,12033,examiner examiné examine examinée examinez examinons
annoncer,1658,12026,annoncer annoncé annoncent annoncez annonçant annonçait
directement,1659,12025,directement
rat,1660,12023,rat rats
chaise,1661,12016,chaise chaises
france,1662,12002,france
cadavre,1663,11992,cadavre cadavres
violer,1664,11985,violée violé violer viola violées violez
sport,1665,11980,sport sports
retraite,1666,11969,retraite retraites
vente,1667,11968,vente ventes
aidez-moi,1668,11964,aidez-moi
univers,1669,11956,univers
vision,1670,11956,vision visions
louer,1671,11954,loué louer loue louez louait louons
tableau,1672,11945,tableau tableaux
volonté,1673,11927,volonté volontés
o',1674,11917,o'
bobby,1675,11906,bobby
sont-ils,1676,11904,sont-ils
crois-moi,1677,11902,crois-moi
transformer,1678,11902,transformer transforme transforment transformés transformes transformant
nôtre,1679,11901,nôtres nôtre
siège,1680,11896,siège sièges
oser,1681,11878,osé oses osez oserais oser oserait
emploi,1682,11870,emploi emplois
social,1683,11803,sociale social sociaux sociales
kevin,1684,11800,kevin
pur,1685,11794,pur pure purs pures
grace,1686,11784,grace
fais-le,1687,11777,fais-le
dan,1688,11761,dan
cigarette,1689,11761,cigarette cigarettes
assurance,1690,11756,assurance assurances
vampire,1691,11746,vampire vampires
promesse,1692,11737,promesse promesses
franchement,1693,11717,franchement
larry,1694,11716,larry
emporter,1695,11705,emporter emporte emportée emportez emportent emportera
créature,1696,11695,créature créatures
enlève,1697,11681,enlève
principal,1698,11681,principal principaux principales
punir,1699,11681,punir puni punie punis punit punira
insister,1700,11680,insiste insisté insister insistez insistes insistait
vote,1701,11679,vote votes
ajouter,1702,11641,ajouter ajoute ajoutez ajouterai ajoutant ajoutes
nu,1703,11640,nu nus nues
piéger,1704,11629,piégé piéger piégée piégés piégées
a-t-elle,1705,11589,a-t-elle
chaîne,1706,11588,chaîne chaînes
tombée,1707,11575,tombée
informer,1708,11563,informer informé informés informée informez informerai
conscience,1709,11559,conscience consciences
san,1710,11551,san
salon,1711,11535,salon salons
déménager,1712,11532,déménager déménagé déménage déménages déménagez déménagent
commun,1713,11524,commun communs
fatigué,1714,11518,fatigué
navrer,1715,11518,navré navrée navrés
canon,1716,11514,canon canons
heureusement,1717,11511,heureusement
station,1718,11509,station stations
évident,1719,11508,évident évidente évidentes évidents
queue,1720,11507,queue queues
cancer,1721,11500,cancer cancers
chemise,1722,11499,chemise chemises
rachel,1723,11486,rachel
paradis,1724,11483,paradis
bosse,1725,11482,bosse bosses
délicieux,1726,11479,délicieux délicieuse délicieuses
livrer,1727,11471,livrer livré livrés livrent livrez livrerai
suicide,1728,11463,suicide suicides
style,1729,11453,style styles
distance,1730,11451,distance distances
épisode,1731,11446,épisode épisodes
aéroport,1732,11444,aéroport aéroports
fusil,1733,11442,fusil fusils
bague,1734,11440,bague bagues
moquer,1735,11413,moquer moques moquez moquent moqué moquait
tâcher,1736,11403,tâche tâches tâchez tâcher tâcherai tâchons
calmer,1737,11401,calmer calmé calmez calmera calmée calment
chasser,1738,11399,chasser chassé chassés chassent chassez chassée
expert,1739,11390,expert experts experte expertes
chocolat,1740,11370,chocolat chocolats
protection,1741,11361,protection protections
priver,1742,11341,privée priver privez privant
meurtrier,1743,11340,meurtrier meurtriers meurtrières
correspondre,1744,11339,correspond correspondent correspondre correspondait corresponde correspondaient
corde,1745,11335,corde cordes
fais-moi,1746,11310,fais-moi
associé,1747,11293,associé associés
torturer,1748,11286,torture torturer torturé tortures torturée torturés
modèle,1749,11285,modèle modèles
walter,1750,11258,walter
sien,1751,11243,sien sienne siens siennes
abandonné,1752,11239,abandonné
prof,1753,11221,prof profs
provoquer,1754,11220,provoquer provoqué provoque provoquée provoquant provoquent
brian,1755,11216,brian
eric,1756,11211,eric
mordre,1757,11211,mordu mordre mord mords mordent morde
coupé,1758,11190,coupé
disputer,1759,11176,disputer disputés disputes disputent disputait disputaient
douter,1760,11168,douter doutais douté doutez doutait doutent
mandat,1761,11165,mandat mandats
jerry,1762,11163,jerry
cauchemar,1763,11151,cauchemar cauchemars
rare,1764,11143,rare rares
métier,1765,11127,métier métiers
veste,1766,11115,veste vestes
aide-moi,1767,11114,aide-moi
désormais,1768,11107,désormais
gaz,1769,11070,gaz
scott,1770,11050,scott
science,1771,11035,science sciences
centaine,1772,11033,centaines centaine
no,1773,11017,no
sombre,1774,11014,sombre sombres
internet,1775,11010,internet
andy,1776,11009,andy
filmer,1777,11009,filmer filmé filme filmée filmes filmez
adorable,1778,11001,adorable adorables
chèque,1779,11000,chèque chèques
voyager,1780,10986,voyager voyagé voyagent voyagez voyageait voyageant
pete,1781,10982,pete
soutien,1782,10967,soutien soutiens
guérir,1783,10953,guérir guérie guérit guéris guérira guérissent
personnage,1784,10911,personnage personnages
fruit,1785,10900,fruits fruit
semblant,1786,10877,semblant
yeah,1787,10871,yeah
kim,1788,10868,kim
physique,1789,10864,physique physiques
augmenter,1790,10856,augmenter augmente augmenté augmentent augmentez augmentera
surveillance,1791,10839,surveillance surveillances
camarade,1792,10838,camarade camarades
enterrer,1793,10806,enterrer enterrée enterre enterrés enterrées enterrera
kate,1794,10805,kate
soucier,1795,10777,soucie soucier soucies souciez soucient souciait
pluie,1796,10755,pluie pluies
sage,1797,10752,sage sages
autrement,1798,10738,autrement
fédéral,1799,10731,fédéral fédéraux fédérale fédérales
pistolet,1800,10726,pistolet pistolets
créé,1801,10723,créé
lèvre,1802,10722,lèvres lèvre
jason,1803,10721,jason
heu,1804,10695,heu
filer,1805,10687,filer filez filent filait filerai filera
véritable,1806,10680,véritable véritables
indien,1807,10676,indiens indien indiennes
puce,1808,10650,puce puces
forêt,1809,10620,forêt forêts
annonce,1810,10620,annonce annonces
bouton,1811,10615,bouton boutons
neige,1812,10614,neige neiges
casse,1813,10605,casse
épée,1814,10598,épée épées
concert,1815,10589,concert concerts
explosion,1816,10573,explosion explosions
champion,1817,10570,champion champions championne
man,1818,10568,man
réagir,1819,10568,réagir réagi réagit réagis réagissent réagissez
caisse,1820,10562,caisse caisses
boule,1821,10557,boule boules
rivière,1822,10556,rivière rivières
relever,1823,10551,relever relevé relevés relevez relevée relèvent
récemment,1824,10544,récemment
herbe,1825,10522,herbe herbes
qu,1826,10512,qu
léger,1827,10511,léger légère légers légères
épauler,1828,10502,épaule épaules épauler
curieux,1829,10499,curieux curieuse curieuses
ventre,1830,10495,ventre ventres
autorité,1831,10492,autorité autorités
anna,1832,10487,anna
concentrer,1833,10484,concentrer concentre concentres concentrez concentrons concentrent
loup,1834,10483,loup loups
simon,1835,10479,simon
magique,1836,10475,magique magiques
appuyer,1837,10472,appuie appuyer appuyez appuies appuyant appuient
violence,1838,10461,violence violences
al,1839,10459,al
baisser,1840,10457,baisser baissez baissée baisses baissés baissent
éteindre,1841,10432,éteindre éteins éteignez éteignent éteigne éteindra
cloche,1842,10423,cloche cloches
terroriste,1843,10423,terroristes terroriste
zéro,1844,10388,zéro zéros
usine,1845,10376,usine usines
lisa,1846,10370,lisa
lis,1847,10370,lis
thomas,1848,10350,thomas
dépêche-toi,1849,10341,dépêche-toi
amitié,1850,10337,amitié amitiés
tente,1851,10334,tente
fabriquer,1852,10332,fabriquer fabriqué fabriques fabriquée fabriquent fabriquez
civil,1853,10328,civils civil civile civiles
étoiler,1854,10323,étoiles étoilée
carter,1855,10319,carter
haute,1856,10314,haute
rigoler,1857,10310,rigoles rigoler rigolez rigolé rigolais rigolent
puissance,1858,10300,puissance puissances
lourd,1859,10299,lourd lourds lourdes
étonner,1860,10295,étonne étonnerait étonnes étonnée étonner étonnez
emily,1861,10259,emily
hâte,1862,10243,hâte
parlant,1863,10242,parlant parlante
confier,1864,10229,confier confié confie confiée confions confiez
écraser,1865,10225,écraser écrase écrasée écrasés écrases écrasent
cardiaque,1866,10209,cardiaque cardiaques
souris,1867,10206,souris
sauvage,1868,10192,sauvage sauvages
romantique,1869,10185,romantique romantiques
tenu,1870,10164,tenu tenus
identifier,1871,10140,identifier identifiée identifie identifiés identifiez identifiées
singe,1872,10137,singe singes
ies,1873,10126,ies
pizza,1874,10125,pizza pizzas
fuite,1875,10122,fuite fuites
fiston,1876,10113,fiston
pousse,1877,10106,pousse pousses
pomme,1878,10106,pommes pomme
rattraper,1879,10100,rattraper rattrape rattrapé rattraperai rattrapera rattrapée
plainte,1880,10099,plainte plaintes
conclure,1881,10095,conclu conclure conclut conclue conclus concluons
là-dessus,1882,10085,là-dessus
lier,1883,10077,liés liée liées lier liasse lies
tester,1884,10069,tester testé teste testée testez testés
lunette,1885,10064,lunettes lunette
divorce,1886,10064,divorce divorces
luke,1887,10061,luke
sandwich,1888,10060,sandwich sandwiches sandwichs
enlevé,1889,10045,enlevé
égal,1890,10034,égal égale égaux égales
arracher,1891,10027,arracher arrache arrachée arrachés arracherai arrachées
choc,1892,10026,choc chocs
rumeur,1893,10022,rumeurs rumeur
nana,1894,10018,nana nanas
gorge,1895,10016,gorge gorges
rome,1896,10014,rome
geste,1897,10012,geste gestes
démarrer,1898,10006,démarre démarrer démarré démarrez démarres démarrent
lapin,1899,10005,lapin lapins
disque,1900,9998,disque disques
crédit,1901,9992,crédit crédits
valise,1902,9986,valise valises
jury,1903,9976,jury jurys
uniforme,1904,9972,uniforme uniformes
angleterre,1905,9958,angleterre
lundi,1906,9958,lundi lundis
couche,1907,9956,couche
gang,1908,9939,gang gangs
gardé,1909,9937,gardé
ted,1910,9928,ted
attente,1911,9925,attente attentes
subir,1912,9918,subir subi subis subissent subira subies
traduction,1913,9916,traduction traductions
précédemment,1914,9907,précédemment
cabinet,1915,9906,cabinet cabinets
version,1916,9897,version versions
théâtre,1917,9896,théâtre théâtres
endormir,1918,9893,endormir endormie endors endort endormis endorme
accusation,1919,9892,accusation accusations
analyse,1920,9891,analyse analyses
lac,1921,9888,lac lacs
couille,1922,9871,couilles couille
my,1923,9870,my
facilement,1924,9862,facilement
réseau,1925,9857,réseau réseaux
déposer,1926,9854,déposer déposée déposez déposés déposerai déposes
technique,1927,9853,technique techniques
chauffeur,1928,9847,chauffeur chauffeurs
fortune,1929,9838,fortune fortunes
dépasser,1930,9838,dépasse dépasser dépassent dépassée dépassez dépassés
clairement,1931,9827,clairement
major,1932,9825,major majors
activité,1933,9825,activité activités
voter,1934,9821,voter voté votez votent votons votera
sommeil,1935,9808,sommeil
rejeter,1936,9808,rejeté rejetée rejeter rejette rejetés rejetez
poupée,1937,9799,poupée poupées
résister,1938,9795,résister résiste résisté résistez résistent résistera
opinion,1939,9791,opinion opinions
interrompre,1940,9789,interrompre interrompu interromps interrompue interrompez interrompt
logique,1941,9782,logique logiques
prêtre,1942,9781,prêtre prêtres
o,1943,9780,o
planter,1944,9773,planté planter plantée plantés plantez plantées
déconner,1945,9773,déconne déconner déconnes déconné déconnez déconnais
traité,1946,9767,traité traités
affreux,1947,9759,affreux affreuse affreuses
repos,1948,9754,repos
secrétaire,1949,9750,secrétaire secrétaires
alerte,1950,9746,alerte alertes
participer,1951,9743,participer participé participent participes participez participait
débile,1952,9738,débile débiles
frontière,1953,9729,frontière frontières
arrestation,1954,9723,arrestation arrestations
original,1955,9721,original originale originaux originales
venger,1956,9719,venger venge vengé vengerai vengée vengera
engagé,1957,9715,engagé
rayon,1958,9714,rayon rayons
désir,1959,9700,désir désirs
améliorer,1960,9692,améliorer améliore amélioré améliorée améliorent améliorera
échec,1961,9687,échec échecs
matt,1962,9682,matt
spéciale,1963,9679,spéciale
ruiner,1964,9679,ruiné ruiner ruinée ruinés ruinerait ruinent
document,1965,9675,documents document
ours,1966,9668,ours
fer,1967,9644,fer fers
navire,1968,9627,navire navires
peinture,1969,9621,peinture peintures
rapprocher,1970,9608,rapproche rapprocher rapprochent rapproché rapprochés rapprochée
â,1971,9605,â
géant,1972,9604,géant géante géants géantes
aile,1973,9596,ailes aile
paye,1974,9594,paye
rock,1975,9590,rock rocks
horreur,1976,9589,horreur horreurs
allo,1977,9588,allo
poil,1978,9577,poil poils
comportement,1979,9570,comportement comportements
violent,1980,9570,violent violente violents violentes
affronter,1981,9566,affronter affronte affrontent affrontera affrontez affrontes
tenue,1982,9565,tenue tenues
impressionner,1983,9565,impressionné impressionner impressionnée impressionne impressionnés impressionnes
humeur,1984,9554,humeur humeurs
véhicule,1985,9553,véhicule véhicules
produire,1986,9553,produire produisent produise produite produira produisait
officiel,1987,9551,officiel officielle officiels officielles
alice,1988,9548,alice
lève,1989,9537,lève
viser,1990,9534,vise viser visez visant visait vises
obéir,1991,9533,obéir obéis obéissez obéit obéi obéissent
réserve,1992,9532,réserve réserves
gratuit,1993,9526,gratuit gratuite gratuits gratuites
escalier,1994,9526,escalier escaliers
choir,1995,9519,chut chu
chicago,1996,9517,chicago
auprès,1997,9510,auprès
cinglé,1998,9508,cinglé cinglée cinglés cinglées
propriété,1999,9507,propriété propriétés
chute,2000,9505,chute chutes
période,2001,9496,période périodes
bénir,2002,9493,bénisse béni bénis bénie bénir bénissez
discussion,2003,9478,discussion discussions
réserver,2004,9475,réservé réserver réservée réservés réservées réservez
pub,2005,9474,pub pubs
mortel,2006,9473,mortel mortelle mortels mortelles
vive,2007,9470,vive vives
réaction,2008,9448,réaction réactions
ambulance,2009,9447,ambulance ambulances
château,2010,9446,château châteaux
studio,2011,9439,studio studios
avantage,2012,9425,avantage avantages
jean,2013,9423,jean jeans
qualité,2014,9420,qualité qualités
embêter,2015,9418,embête embêter embêté embêtez embêtes embêterait
possibilité,2016,9413,possibilité possibilités
doc,2017,9410,doc
courageux,2018,9408,courageux courageuse courageuses
annie,2019,9388,annie
plaque,2020,9382,plaque plaques
signaler,2021,9376,signaler signalé signale signalée signalent signalez
sain,2022,9372,sain saine sains saines
couloir,2023,9366,couloir couloirs
ordonner,2024,9364,ordonné ordonne ordonner ordonnez ordonnée ordonna
tournée,2025,9361,tournée tournées
normale,2026,9352,normale
essai,2027,9352,essai essais
désert,2028,9345,désert déserte déserts désertes
chiffre,2029,9330,chiffres chiffre
liquide,2030,9324,liquide liquides
whoa,2031,9322,whoa
option,2032,9315,option options
permission,2033,9299,permission permissions
commis,2034,9297,commis
carl,2035,9284,carl
sous-titrage,2036,9282,sous-titrage
idéal,2037,9273,idéal idéale idéaux idéales
malheureux,2038,9272,malheureux malheureuse malheureuses
couvert,2039,9265,couvert couverts couvertes
fromage,2040,9264,fromage fromages
arthur,2041,9256,arthur
top,2042,9256,top tops
serpent,2043,9256,serpent serpents
événement,2044,9255,événements événement
kyle,2045,9251,kyle
esclave,2046,9248,esclave esclaves
ed,2047,9245,ed
louis,2048,9244,louis
1er,2049,9240,1er
dette,2050,9235,dette dettes
dave,2051,9226,dave
ballon,2052,9211,ballon ballons
william,2053,9210,william
copie,2054,9208,copie copies
péter,2055,9196,péter pété pète pètes pètent pétée
brisé,2056,9192,brisé
minuit,2057,9179,minuit
pendre,2058,9176,pendu pendre pend pendus pendent pendait
effacer,2059,9168,effacer efface effacée effacés effacées effacez
los,2060,9160,los
déclaration,2061,9160,déclaration déclarations
placer,2062,9160,placer placée placés placez placées placent
émotion,2063,9152,émotions émotion
ranger,2064,9145,ranger rangé rangez ranges rangés rangeais
go,2065,9143,go
garage,2066,9139,garage garages
accrocher,2067,9135,accrocher accroché accrochée accroches accrochez accrochés
saigner,2068,9133,saigne saigner saignes saigné saignez saignait
rassembler,2069,9131,rassembler rassemble rassemblé rassemblez rassemblés rassemblent
clark,2070,9106,clark
mélanger,2071,9106,mélange mélanger mélangé mélanges mélangés mélangent
voiler,2072,9101,voila voiler voilé voilée
baser,2073,9101,bases basé basée basant basées basés
susan,2074,9093,susan
jeff,2075,9084,jeff
célibataire,2076,9084,célibataire célibataires
correct,2077,9084,correct correcte corrects correctes
foyer,2078,9081,foyer foyers
explication,2079,9080,explication explications
sénateur,2080,9070,sénateur sénateurs
midi,2081,9047,midi
hmm,2082,9029,hmm
city,2083,9029,city
insulter,2084,9025,insulte insulter insultes insulté insultez insultée
dessous,2085,9024,dessous
déçu,2086,9020,déçu déçue déçus déçues
gouverneur,2087,9018,gouverneur gouverneurs
indice,2088,9018,indice indices
smith,2089,9009,smith
illégal,2090,9009,illégal illégale illégales illégaux
piquer,2091,9006,piqué piquer piquent piquez piquait piqués
gare,2092,8995,gare
rentrée,2093,8993,rentrée
crâne,2094,8991,crâne crânes
masque,2095,8988,masque masques
matériel,2096,8984,matériel matériels matérielles matérielle
kelly,2097,8978,kelly
quiconque,2098,8969,quiconque
vole,2099,8965,vole
otage,2100,8965,otage otages
piscine,2101,8963,piscine piscines
cochon,2102,8957,cochon cochons
accueillir,2103,8956,accueillir accueille accueilli accueillons accueillez accueillis
lâche-moi,2104,8946,lâche-moi
témoigner,2105,8940,témoigner témoigne témoigné témoignera témoignez témoignerai
ont-ils,2106,8939,ont-ils
conférence,2107,8938,conférence conférences
sucre,2108,8927,sucre sucres
virus,2109,8923,virus
chanceux,2110,8923,chanceux chanceuse chanceuses
enculer,2111,8922,enculé enculés enculer encule
réellement,2112,8918,réellement
critique,2113,8916,critique critiques
fichu,2114,8914,fichu fichue fichus fichues
dites-lui,2115,8902,dites-lui
boutique,2116,8897,boutique boutiques
exciter,2117,8896,excitée excite excités exciter excites excitait
décrire,2118,8869,décrire décrit décrivez décris décrite décrivent
maudire,2119,8861,maudit maudits maudis maudire maudisse
franc,2120,8858,franc francs franche franches
park,2121,8852,park
épreuve,2122,8847,épreuve épreuves
échanger,2123,8842,échanger échangé échanges échangés échangerais échangent
cependant,2124,8833,cependant
agence,2125,8825,agence
chaleur,2126,8825,chaleur chaleurs
chouette,2127,8819,chouette chouettes
origine,2128,8814,origine origines
manteau,2129,8800,manteau manteaux
larme,2130,8788,larmes larme
bat,2131,8786,bat
raccrocher,2132,8780,raccroche raccrocher raccroché raccrochez raccroches
porc,2133,8778,porc porcs
e,2134,8768,e
croyez-moi,2135,8766,croyez-moi
fouiller,2136,8764,fouiller fouillez fouillent fouillant fouillée fouillait
élément,2137,8764,éléments élément
roman,2138,8761,roman romans romane
mile,2139,8761,miles mile
abri,2140,8756,abri abris
street,2141,8754,street
atterrir,2142,8754,atterri atterrir atterrit atterris atterrissent atterrira
maintenir,2143,8753,maintenir maintient maintenez maintenu maintiennent maintenait
bye,2144,8746,bye
pourriez-vous,2145,8744,pourriez-vous
essence,2146,8741,essence
bite,2147,8740,bite bites
lendemain,2148,8712,lendemain lendemains
coach,2149,8694,coach coachs
champagne,2150,8686,champagne
japonais,2151,8680,japonais japonaise japonaises
ouai,2152,8679,ouai
pratique,2153,8679,pratique pratiques
hésiter,2154,8677,hésite hésitez hésiter hésité hésiterai hésites
contenir,2155,8675,contient contenir contenait contiennent contenaient
europe,2156,8665,europe
ordure,2157,8658,ordures ordure
troupe,2158,8654,troupes troupe
opérer,2159,8652,opérer opère opéré opérée opèrent opérez
magazine,2160,8647,magazine magazines
roger,2161,8635,roger
autoriser,2162,8633,autorise autorisée autoriser autorisés autorisées autorisez
chair,2163,8629,chair chairs
étape,2164,8617,étape étapes
rouler,2165,8605,rouler roulez roulait roules roulent roulés
vague,2166,8599,vague vagues
citoyen,2167,8597,citoyens citoyen citoyenne
interne,2168,8594,interne internes
chasseur,2169,8594,chasseur chasseurs chasseuse
mentionner,2170,8586,mentionné mentionner mentionne mentionnez mentionnée mentionnés
admirer,2171,8577,admire admirer admirez admiré admirais admirait
forcément,2172,8570,forcément
b,2173,8561,b
reconnaissant,2174,8559,reconnaissant reconnaissante reconnaissants reconnaissantes
taylor,2175,8548,taylor
transmettre,2176,8540,transmettre transmis transmet transmets transmettez transmettrai
foule,2177,8535,foule foules
ascenseur,2178,8534,ascenseur ascenseurs
océan,2179,8532,océan océans
volant,2180,8524,volant volante volants volantes
croiser,2181,8503,croisés croiser croise croisent croisez croises
concours,2182,8502,concours
chou,2183,8494,chou choux
soudain,2184,8492,soudain soudaine
vous-même,2185,8491,vous-même
éclater,2186,8487,éclater éclate éclatent éclatée éclatera éclates
étonnant,2187,8478,étonnant étonnante étonnantes étonnants
élevé,2188,8477,élevé
département,2189,8470,département départements
opportunité,2190,8453,opportunité opportunités
enfance,2191,8449,enfance
noyer,2192,8443,noyer noyé noie noyée noyés noient
rompre,2193,8438,rompre rompez romps rompt rompue rompus
prénom,2194,8428,prénom prénoms
bel,2195,8422,bel
écran,2196,8413,écran écrans
revenue,2197,8406,revenue
jaune,2198,8395,jaune jaunes
mac,2199,8389,mac macs
poitrine,2200,8387,poitrine poitrines
ceinture,2201,8378,ceinture ceintures
parer,2202,8377,parait paré parés parez para parer
crème,2203,8368,crème crèmes
repérer,2204,8360,repéré repérer repérés repérée repèrent repérez
écoutez-moi,2205,8356,écoutez-moi
entraînement,2206,8352,entraînement entraînements
exprimer,2207,8350,exprimer exprime exprimé expriment exprimée exprimait
sean,2208,8349,sean
fiancé,2209,8342,fiancé fiancés fiancées
vélo,2210,8332,vélo vélos
incident,2211,8329,incident incidents
attrape,2212,8328,attrape
emma,2213,8327,emma
soupe,2214,8318,soupe soupes
peindre,2215,8318,peindre peint peins peinte peints peintes
bloc,2216,8304,bloc blocs
salaire,2217,8302,salaire salaires
atteint,2218,8301,atteint atteints
phil,2219,8300,phil
impressionnant,2220,8299,impressionnant impressionnante impressionnants impressionnantes
gaffe,2221,8296,gaffe gaffes
influencer,2222,8296,influence influencer influencé influences influencée influencés
italien,2223,8291,italien italiens italienne italiennes
pêcher,2224,8289,péchés pêcher pêché pêchés pêchait pêchez
cia,2225,8283,cia
entretien,2226,8276,entretien entretiens
bonbon,2227,8276,bonbons bonbon
diamant,2228,8276,diamants diamant
réputation,2229,8274,réputation
hiver,2230,8268,hiver hivers
mystère,2231,8267,mystère mystères
jackson,2232,8254,jackson
demi,2233,8251,demi
grand-chose,2234,8238,grand-chose
tim,2235,8238,tim
joey,2236,8234,joey
sorcière,2237,8234,sorcière
technologie,2238,8233,technologie technologies
venant,2239,8227,venant
pile,2240,8226,pile piles
alan,2241,8225,alan
rembourser,2242,8223,rembourser rembourserai remboursé rembourse remboursera remboursée
californie,2243,8222,californie
poubelle,2244,8222,poubelle poubelles
patte,2245,8207,pattes patte
poule,2246,8206,poule poules
dessin,2247,8199,dessin dessins
méthode,2248,8197,méthode méthodes
karen,2249,8194,karen
conséquence,2250,8193,conséquences conséquence
commissaire,2251,8184,commissaire commissaires
angeles,2252,8180,angeles
flipper,2253,8179,flipper flippant flippe flippé flippes flippent
tempête,2254,8175,tempête tempêtes
pot,2255,8162,pot pots
liaison,2256,8161,liaison liaisons
honnêtement,2257,8155,honnêtement
furieux,2258,8154,furieux furieuse
étais-tu,2259,8144,étais-tu
empire,2260,8141,empire
déclarer,2261,8140,déclare déclarer déclarée déclarons déclarés déclarez
classique,2262,8137,classique classiques
y',2263,8132,y'
emprunter,2264,8132,emprunter emprunte empruntée empruntes empruntés empruntez
démissionner,2265,8132,démissionné démissionne démissionner démissionnes démissionnez démissionnerai
jenny,2266,8128,jenny
gagnant,2267,8124,gagnant gagnants gagnante gagnantes
gant,2268,8122,gants gant
communauté,2269,8115,communauté communautés
aventure,2270,8113,aventure
extraordinaire,2271,8102,extraordinaire extraordinaires
abby,2272,8097,abby
cérémonie,2273,8096,cérémonie cérémonies
barre,2274,8095,barre
botte,2275,8095,bottes botte
front,2276,8079,front fronts
jus,2277,8061,jus
dragon,2278,8052,dragon dragons
lily,2279,8045,lily
dépenser,2280,8042,dépensé dépenser dépensent dépensez dépensés dépensait
région,2281,8036,région régions
chuck,2282,8032,chuck
suicider,2283,8026,suicider suicidé suicidée suicidés suicident
sommer,2284,8024,somme
kilométrer,2285,8024,kilomètres kilomètre
saluer,2286,8011,salue saluer saluez salué saluons saluent
séance,2287,8007,séance séances
bijou,2288,8007,bijoux bijou
positif,2289,8005,positif positive positifs positives
red,2290,8003,red
surface,2291,8000,surface surfaces
récompense,2292,7999,récompense récompenses
plante,2293,7997,plante plantes
passion,2294,7996,passion passions
dis-tu,2295,7995,dis-tu
vaincre,2296,7993,vaincre vaincu vaincus vaincue vaincra vaincrons
vierge,2297,7992,vierge vierges
local,2298,7992,local locaux locales
maggie,2299,7990,maggie
bêtise,2300,7990,bêtises bêtise
malheur,2301,7980,malheur malheurs
fêter,2302,7977,fêter fêtons fêté fêtent fêtera fêtait
oeuf,2303,7973,oeufs oeuf
ralentir,2304,7967,ralentir ralentis ralentit ralentissez ralentissent ralentira
effrayer,2305,7958,effrayer effrayée effrayés effrayez effraient effraye
nation,2306,7951,nation nations
fâcher,2307,7948,fâchée fâche fâcher fâchés fâchez fâches
urgent,2308,7940,urgent urgente urgentes urgents
fournir,2309,7940,fournir fournit fournis fournira fournissent fournie
st,2310,7935,st
boisson,2311,7932,boisson boissons
espion,2312,7928,espion espions
laura,2313,7925,laura
user,2314,7924,usa usé user use usées usée
mardi,2315,7919,mardi mardis
parking,2316,7909,parking parkings
procédure,2317,7904,procédure procédures
noter,2318,7896,noté noter notez notée notés
pis,2319,7893,pis
humanité,2320,7870,humanité
renoncer,2321,7870,renoncer renoncé renoncez renonces renoncerai renoncent
show,2322,7869,show shows
enterrement,2323,7865,enterrement enterrements
casier,2324,7865,casier casiers
josh,2325,7862,josh
big,2326,7848,big
alliance,2327,7840,alliance alliances
julie,2328,7839,julie
jouet,2329,7839,jouets jouet
unir,2330,7836,unis unir unies unit unie unissent
fonds,2331,7832,fonds
ménage,2332,7830,ménage ménages
promener,2333,7830,promener promène promenais promenait promènent promené
habituer,2334,7828,habituer habituée habitue habitués habitueras habitues
états-unis,2335,7814,états-unis
enquêter,2336,7811,enquêter enquêté enquêtons enquêtez enquêtent enquêtait
rencard,2337,7809,rencard rencards
sorcier,2338,7805,sorcières sorcier sorciers
enregistrement,2339,7793,enregistrement enregistrements
veiller,2340,7788,veiller veillerai veillez veillé veillera veillent
vegas,2341,7787,vegas
sir,2342,7783,sir
fiancée,2343,7783,fiancée
incendie,2344,7777,incendie
objectif,2345,7769,objectif objectifs objective
absence,2346,7760,absence absences
pêche,2347,7755,pêche pêches
ex,2348,7752,ex
échantillon,2349,7747,échantillon échantillons
circonstance,2350,7730,circonstances circonstance
robot,2351,7730,robot robots
