frame,n,freq_books,rank,variants,type_token_ratio,top_fillers,auto_keep,keep,notes
la * à,3,798041,368,3,0.000004,salle | main | mise,no,,
un peu plus *,4,794407,369,3,0.000004,loin | de | tard,no,,
il * un,3,781842,370,3,0.000004,d' | avec | est,no,,
au * d' une,4,777824,371,4,0.000005,cours | sein | bout | milieu,no,,
en place *,3,769111,372,3,0.000004,de | des | d',no,,
à l' * des,4,767573,373,4,0.000005,égard | abri | intérieur | ensemble,no,,
d' un * de,4,762862,374,3,0.000004,point | coup | signe,no,,
de l' * de,4,757766,375,4,0.000005,ordre | histoire | état | Université,no,,
elle se *,3,749749,376,3,0.000004,sentait | mit | leva,no,,
l' * pas,3,739807,377,3,0.000004,avait | ai | a,no,,
sur ses *,3,730795,378,3,0.000004,lèvres | genoux | épaules,no,,
en ce qui concerne *,5,728471,379,4,0.000005,les | la | le | l',no,,
comme dans *,3,726877,380,3,0.000004,le | les | un,no,,
tu ne * pas,4,718465,381,4,0.000006,peux | veux | vas | sais,no,,
comme il *,3,717625,382,3,0.000004,l' | le | est,no,,
la première fois *,4,715249,383,3,0.000004,que | depuis | de,no,,
je * à,3,705245,384,3,0.000004,suis | commence | pense,no,,
au * d' un,4,700988,385,3,0.000004,bout | sein | milieu,no,,
l ' * des,4,695669,386,3,0.000004,un | une | ensemble,no,,
sur les *,3,692911,387,3,0.000004,autres | deux | lieux,no,,
main sur *,3,689848,388,3,0.000004,la | son | le,no,,
de ce que *,4,687870,389,4,0.000006,je | nous | l' | vous,no,,
à l' * d',4,683774,390,3,0.000004,aide | intérieur | occasion,no,,
à * de l',4,680423,391,4,0.000006,partir | cause | propos | côté,no,,
dans la mesure où *,5,675900,392,8,0.000012,il | elle | les | la | le | l' | ils | elles,no,,
et dont *,3,671756,393,3,0.000004,la | les | le,no,,
de la * du,4,666553,394,3,0.000005,loi | fin | part,no,,
l ' * de,4,665360,395,5,0.000008,histoire | idée | absence | un | occasion,no,,
je * l' ai,4,665093,396,3,0.000005,ne | vous | te,no,,
de plus en plus *,5,649421,397,8,0.000012,de | souvent | à | d' | nombreux | fort | vite | difficile,no,,
quelques * plus tard,4,648468,398,4,0.000006,minutes | jours | années | instants,yes,,
la * d' une,4,647266,399,4,0.000006,forme | recherche | création | suite,no,,
ne sais pas *,4,633914,400,3,0.000005,si | ce | comment,no,,
à ce que *,4,630452,401,4,0.000006,je | les | l' | le,no,,
le fait que *,4,616364,402,4,0.000006,les | la | le | l',no,,
à la fois *,4,615628,403,4,0.000006,de | la | le | un,no,,
que je ne * pas,5,612672,404,9,0.000015,suis | peux | sais | veux | connais | pouvais | voulais | connaissais,no,,
ce que vous *,4,609197,405,3,0.000005,avez | voulez | faites,no,,
à l' * du,4,594810,406,3,0.000005,intérieur | égard | entrée,no,,
à la fin de *,5,585661,407,4,0.000007,la | l' | sa | son,no,,
je ne suis pas *,5,582884,408,10,0.000017,un | sûr | sûre | une | en | d' | le | encore,yes,,
ce ne * pas,4,578228,409,3,0.000005,sont | serait | sera,no,,
dans le cadre de *,5,574456,410,3,0.000005,la | l' | cette,no,,
du * de la,4,569490,411,3,0.000005,côté | fait | Code,no,,
il est possible *,4,566889,412,3,0.000005,de | d' | que,no,,
je ne * pas que,5,559784,413,6,0.000011,crois | veux | pense | savais | pensais | voulais,no,,
de la vie *,4,557464,414,3,0.000005,de | et | quotidienne,no,,
sur la * de,4,553735,415,3,0.000005,base | table | route,no,,
dans le * des,4,543804,416,3,0.000006,cadre | cas | domaine,no,,
la mise en place *,5,539142,417,4,0.000007,de | d' | des | du,no,,
du lundi au * de,5,536931,418,3,0.000006,vendredi | samedi | jeudi,yes,,
pour la première fois *,5,523433,419,5,0.00001,depuis | de | en | dans | à,no,,
un coup d' œil *,5,519245,420,6,0.000012,à | sur | par | dans | au | vers,no,,
je ne * plus,4,518635,421,3,0.000006,sais | suis | veux,no,,
l' une * l' autre,5,506783,422,6,0.000012,ou | et | de | à | après | contre,no,,
de l' * et,4,497773,423,3,0.000006,homme | État | eau,no,,
la mise en œuvre *,5,489914,424,4,0.000008,de | des | du | d',no,,
sur le * de la,5,481591,425,8,0.000017,bord | plan | seuil | pas | chemin | ton | devant | rebord,no,,
la mise en * de,5,475830,426,3,0.000006,œuvre | place | scène,yes,,
ne * pas que,4,473272,427,3,0.000006,crois | veux | pense,no,,
au moment où *,4,469449,428,3,0.000006,il | elle | le,no,,
de la * et,4,460418,429,3,0.000007,vie | ville | nature,no,,
en * de l',4,450068,430,3,0.000007,raison | fonction | faveur,no,,
tout le monde *,4,449720,431,3,0.000007,se | est | a,no,,
les uns * les autres,5,440197,432,6,0.000014,et | après | contre | que | sur | avec,no,,
dans l' * de,4,426980,433,3,0.000007,histoire | esprit | espoir,no,,
si l' on *,4,422169,434,3,0.000007,veut | peut | ne,no,,
ce qui est *,4,402827,435,3,0.000007,de | en | arrivé,no,,
dans le * d' une,5,400844,436,3,0.000007,cadre | cas | sens,no,,
tout au long de *,5,384143,437,4,0.00001,la | l' | sa | son,no,,
du point de vue *,5,380423,438,3,0.000008,de | des | du,no,,
dans le * de l',5,374671,439,3,0.000008,cadre | domaine | cas,no,,
à la * de l',5,370157,440,4,0.000011,fin | suite | tête | place,no,,
mais je ne * pas,5,358397,441,4,0.000011,suis | peux | sais | veux,no,,
du mardi au * de,5,336851,442,3,0.000009,samedi | vendredi | dimanche,yes,,
à l' * de l',5,335129,443,4,0.000012,égard | intérieur | origine | occasion,no,,
à l' * d' une,5,330629,444,4,0.000012,aide | intérieur | occasion | origine,no,,
à l' * d' un,5,326688,445,3,0.000009,aide | intérieur | occasion,no,,
à la * d' un,5,323157,446,4,0.000012,recherche | suite | manière | tête,no,,
fur et à mesure *,5,321117,447,3,0.000009,que | de | des,no,,
il y a * de,5,310651,448,4,0.000013,plus | beaucoup | peu | lieu,no,,
je ne * ai pas,5,300261,449,3,0.00001,l' | vous | lui,no,,
ce que l' on *,5,281170,450,4,0.000014,appelle | peut | a | pourrait,no,,
à la * d' une,5,274964,451,3,0.000011,suite | recherche | tête,no,,
à l ' * de,5,273898,452,5,0.000018,égard | intérieur | aide | origine | occasion,no,,
le * de la République,5,263193,453,3,0.000011,président | procureur | Président,no,,
je ne veux pas *,5,261664,454,4,0.000015,que | de | être | te,no,,
pour ce qui est *,5,247918,455,3,0.000012,de | des | du,no,,
il y a quelques *,5,245448,456,3,0.000012,années | jours | mois,yes,,
je ne peux pas *,5,245331,457,5,0.00002,vous | me | te | le | faire,no,,
la porte de la *,5,241233,458,4,0.000017,chambre | salle | maison | cuisine,yes,,
je ne me * pas,5,236685,459,3,0.000013,suis | sens | souviens,no,,
en même temps que *,5,229939,460,4,0.000017,le | la | les | l',no,,
la fin de la *,5,215721,461,3,0.000014,guerre | journée | semaine,yes,,
et je ne * pas,5,215430,462,4,0.000019,suis | veux | sais | peux,no,,
rien à voir avec *,5,212992,463,4,0.000019,la | le | les | l',no,,
je ne * pas pourquoi,5,209283,464,3,0.000014,sais | vois | comprends,yes,,
comme nous l' avons *,5,209252,465,3,0.000014,vu | déjà | dit,yes,,
de l' * de la,5,208314,466,4,0.000019,histoire | ensemble | ordre | évolution,no,,
de la mise en *,5,207056,467,3,0.000014,œuvre | place | scène,yes,,
au * de l' année,5,192014,468,3,0.000016,cours | long | début,yes,,
de la * de la,5,184024,469,4,0.000022,part | théorie | fin | rue,no,,
il ne faut pas *,5,174131,470,3,0.000017,oublier | que | se,no,,
il y a eu *,5,167723,471,3,0.000018,un | des | une,no,,
sur le plan de *,5,160765,472,3,0.000019,la | l' | travail,no,,
de la * et de,5,157198,473,3,0.000019,vie | nature | France,no,,
à la fin du *,5,156209,474,3,0.000019,mois | XIX | XIXe,yes,,
il y a * ans,5,148747,475,3,0.00002,deux | dix | trois,yes,,
il y a de *,5,146502,476,3,0.00002,la | l' | quoi,no,,
que l ' on *,5,144516,477,3,0.000021,peut | a | ne,no,,
il y a des *,5,144443,478,3,0.000021,gens | choses | années,no,,
au bord de la *,5,143763,479,3,0.000021,mer | route | rivière,yes,,
coup d' œil à *,5,140596,480,3,0.000021,la | l' | sa,no,,
il faut que je *,5,140150,481,3,0.000021,te | me | vous,no,,
je ne vois pas *,5,138445,482,3,0.000022,pourquoi | ce | comment,no,,
il est vrai que *,5,137570,483,3,0.000022,la | les | le,no,,
ce que je * faire,5,135599,484,3,0.000022,peux | dois | vais,yes,,
il y en a *,5,135119,485,3,0.000022,qui | un | pour,no,,
sur la * de la,5,132404,486,3,0.000023,base | question | table,no,,
au sein de la *,5,125516,487,3,0.000024,société | communauté | famille,no,,
sur la table de *,5,119241,488,3,0.000025,la | nuit | chevet,no,,
quoi que ce soit *,5,113570,489,3,0.000026,de | à | d',no,,
